Cenario, Tamanho,  Algoritmo, trocas, comparações, tempo
Vetor Ordenado,10,Bubble Sort,0.000000,9.000000,0.000
Vetor Inversamente Ordenado,10,Bubble Sort,45.000,45.000,0.000
Vetor aleatorio,10,Bubble Sort,20.400,40.900,0.000
Vetor quase ordenado,10,Bubble Sort,4.600,26.400,0.000
Vetor Ordenado,10,Insertion Sort,0.000,18.000,0.000
Vetor Inversamente Ordenado,10,Insertion Sort,45.000,18.000,0.000
Vetor aleatorio,10,Insertion Sort,20.400,18.000,0.000
Vetor quase ordenado,10,Insertion Sort,4.600,18.000,0.000
Vetor Ordenado,10,Selection Sort,0.000,45.000,0.000
Vetor Inversamente Ordenado,10,Selection Sort,5.000,45.000,0.000
Vetor aleatorio,10,Selection Sort,6.800,45.000,0.000
Vetor quase ordenado,10,Selection Sort,0.800,45.000,0.000
Vetor Ordenado,10,Quick Sort Lomuto,10.600,24.600,0.000
Vetor Inversamente Ordenado,10,Quick Sort Lomuto,16.200,22.900,0.000
Vetor aleatorio,10,Quick Sort Lomuto,15.220,25.000,0.000
Vetor quase ordenado,10,Quick Sort Lomuto,11.960,24.540,0.000
Vetor Ordenado,10,Quick Sort Hoare,14.600,56.100,0.000
Vetor Inversamente Ordenado,10,Quick Sort Hoare,17.600,54.000,0.000
Vetor aleatorio,10,Quick Sort Hoare,18.700,54.880,7.900
Vetor quase ordenado,10,Quick Sort Hoare,15.480,54.550,0.000
Vetor Ordenado,10,Merge Sort,0.000,19.000,0.000
Vetor Inversamente Ordenado,10,Merge Sort,0.000,15.000,56.600
Vetor aleatorio,10,Merge Sort,0.000,21.800,5.110
Vetor quase ordenado,10,Merge Sort,0.000,20.100,10.030
Vetor Ordenado,100,Bubble Sort,0.000,99.000,0.000
Vetor Inversamente Ordenado,100,Bubble Sort,4950.000,4950.000,67.800
Vetor aleatorio,100,Bubble Sort,2362.600,4874.000,48.930
Vetor quase ordenado,100,Bubble Sort,521.400,4670.800,21.220
Vetor Ordenado,100,Insertion Sort,0.000,198.000,0.000
Vetor Inversamente Ordenado,100,Insertion Sort,4950.000,198.000,71.600
Vetor aleatorio,100,Insertion Sort,2362.600,198.000,20.140
Vetor quase ordenado,100,Insertion Sort,521.400,198.000,0.000
Vetor Ordenado,100,Selection Sort,0.000,4950.000,0.000
Vetor Inversamente Ordenado,100,Selection Sort,50.000,4950.000,0.000
Vetor aleatorio,100,Selection Sort,92.700,4950.000,27.300
Vetor quase ordenado,100,Selection Sort,10.000,4950.000,31.910
Vetor Ordenado,100,Quick Sort Lomuto,114.100,664.300,0.000
Vetor Inversamente Ordenado,100,Quick Sort Lomuto,334.000,655.000,0.000
Vetor aleatorio,100,Quick Sort Lomuto,328.160,659.390,0.000
Vetor quase ordenado,100,Quick Sort Lomuto,220.590,645.650,0.000
Vetor Ordenado,100,Quick Sort Hoare,172.900,1023.900,0.000
Vetor Inversamente Ordenado,100,Quick Sort Hoare,213.400,1021.200,0.000
Vetor aleatorio,100,Quick Sort Hoare,272.960,1005.170,10.350
Vetor quase ordenado,100,Quick Sort Hoare,180.940,1024.640,6.650
Vetor Ordenado,100,Merge Sort,0.000,356.000,0.000
Vetor Inversamente Ordenado,100,Merge Sort,0.000,316.000,50.300
Vetor aleatorio,100,Merge Sort,0.000,542.300,53.690
Vetor quase ordenado,100,Merge Sort,0.000,482.900,50.750
Vetor Ordenado,1000,Bubble Sort,0.000,999.000,0.000
Vetor Inversamente Ordenado,1000,Bubble Sort,499500.000,499500.000,6066.500
Vetor aleatorio,1000,Bubble Sort,249632.600,498629.000,5232.910
Vetor quase ordenado,1000,Bubble Sort,57949.500,489381.100,4091.490
Vetor Ordenado,1000,Insertion Sort,0.000,1998.000,52.200
Vetor Inversamente Ordenado,1000,Insertion Sort,499500.000,1998.000,6557.600
Vetor aleatorio,1000,Insertion Sort,249632.600,1998.000,2022.320
Vetor quase ordenado,1000,Insertion Sort,57949.500,1998.000,609.980
Vetor Ordenado,1000,Selection Sort,0.000,499500.000,3317.100
Vetor Inversamente Ordenado,1000,Selection Sort,500.000,499500.000,3088.600
Vetor aleatorio,1000,Selection Sort,991.300,499500.000,2632.570
Vetor quase ordenado,1000,Selection Sort,99.700,499500.000,2998.110
Vetor Ordenado,1000,Quick Sort Lomuto,1168.300,11594.700,0.000
Vetor Inversamente Ordenado,1000,Quick Sort Lomuto,4436.400,10780.100,0.000
Vetor aleatorio,1000,Quick Sort Lomuto,5506.650,10920.890,224.490
Vetor quase ordenado,1000,Quick Sort Lomuto,4590.220,10844.780,155.770
Vetor Ordenado,1000,Quick Sort Hoare,1719.700,14607.300,0.000
Vetor Inversamente Ordenado,1000,Quick Sort Hoare,2220.600,14938.400,0.000
Vetor aleatorio,1000,Quick Sort Hoare,3522.460,14792.420,203.220
Vetor quase ordenado,1000,Quick Sort Hoare,1977.470,14854.090,100.520
Vetor Ordenado,1000,Merge Sort,0.000,5044.000,400.400
Vetor Inversamente Ordenado,1000,Merge Sort,0.000,4932.000,217.100
Vetor aleatorio,1000,Merge Sort,0.000,8701.000,728.900
Vetor quase ordenado,1000,Merge Sort,0.000,8041.700,413.310
Vetor Ordenado,10000,Bubble Sort,0.000,9999.000,380.600
Vetor Inversamente Ordenado,10000,Bubble Sort,49995000.000,49995000.000,576804.200
Vetor aleatorio,10000,Bubble Sort,24990262.900,49988846.300,479190.050
Vetor quase ordenado,10000,Bubble Sort,5771310.600,49927191.500,298603.040
Vetor Ordenado,10000,Insertion Sort,0.000,19998.000,0.000
Vetor Inversamente Ordenado,10000,Insertion Sort,49995000.000,19998.000,360516.500
Vetor aleatorio,10000,Insertion Sort,24990262.900,19998.000,173625.000
Vetor quase ordenado,10000,Insertion Sort,5771310.600,19998.000,41541.040
Vetor Ordenado,10000,Selection Sort,0.000,49995000.000,227554.900
Vetor Inversamente Ordenado,10000,Selection Sort,5000.000,49995000.000,224110.400
Vetor aleatorio,10000,Selection Sort,9989.800,49995000.000,259287.870
Vetor quase ordenado,10000,Selection Sort,1000.000,49995000.000,250414.780
Vetor Ordenado,10000,Quick Sort Lomuto,11668.800,154144.100,1220.800
Vetor Inversamente Ordenado,10000,Quick Sort Lomuto,63228.900,156659.100,1349.500
Vetor aleatorio,10000,Quick Sort Lomuto,78908.470,155841.210,1697.720
Vetor quase ordenado,10000,Quick Sort Lomuto,69580.280,155191.200,1720.000
Vetor Ordenado,10000,Quick Sort Hoare,17184.000,196301.200,1920.500
Vetor Inversamente Ordenado,10000,Quick Sort Hoare,22191.600,193949.700,1117.700
Vetor aleatorio,10000,Quick Sort Hoare,42925.670,193460.320,1691.240
Vetor quase ordenado,10000,Quick Sort Hoare,21157.700,194043.560,1264.420
Vetor Ordenado,10000,Merge Sort,0.000,69008.000,4803.900
Vetor Inversamente Ordenado,10000,Merge Sort,0.000,64608.000,5390.900
Vetor aleatorio,10000,Merge Sort,0.000,120450.800,5202.940
Vetor quase ordenado,10000,Merge Sort,0.000,115352.700,4708.920
Vetor Ordenado,100000,Bubble Sort,0.000,99999.000,1435.500
Vetor Inversamente Ordenado,100000,Bubble Sort,4999950000.000,704982704.000,63609264.500
Vetor Ordenado,100000,Insertion Sort,0.000,199998.000,0.000
Vetor Inversamente Ordenado,100000,Insertion Sort,4999950000.000,199998.000,94100816.900
Vetor Ordenado,100000,Selection Sort,0.000,704982704.000,21997937.400
Vetor Inversamente Ordenado,100000,Selection Sort,50000.000,704982704.000,55837765.800
Vetor Ordenado,100000,Quick Sort Lomuto,116717.600,2024284.800,9531.600
Vetor Inversamente Ordenado,100000,Quick Sort Lomuto,802029.900,2030753.900,17099.100
Vetor aleatorio,100000,Quick Sort Lomuto,1022139.940,2020395.260,19856.690
Vetor quase ordenado,100000,Quick Sort Lomuto,940146.030,2018271.150,15524.650
Vetor Ordenado,100000,Quick Sort Hoare,171792.900,2434957.100,12503.100
Vetor Inversamente Ordenado,100000,Quick Sort Hoare,221836.600,2418990.200,12134.000
Vetor aleatorio,100000,Quick Sort Hoare,505928.250,2389182.220,18649.510
Vetor quase ordenado,100000,Quick Sort Hoare,225542.200,2411365.530,13179.820
Vetor Ordenado,100000,Merge Sort,0.000,853904.000,46131.500
Vetor Inversamente Ordenado,100000,Merge Sort,0.000,815024.000,45876.400
Vetor aleatorio,100000,Merge Sort,0.000,1536363.100,54964.040
Vetor quase ordenado,100000,Merge Sort,0.000,1484297.400,51273.280
